,show_id,type,director,release_year,duration,rating,genre
106,s146,TV Show,,2019,1.0,TV-MA,Drama
107,s147,Movie,Melvin Van Peebles,1970,100.0,R,Comedy
108,s150,TV Show,,2020,1.0,NR,TV Shows
109,s152,Movie,María Ripoll,2021,104.0,16+,Comedy
110,s153,Movie,Frank Capra,1945,65.0,NR,Documentary
111,s154,Movie,Siddharth Anand,2019,152.0,13+,Action
112,s155,Movie,Siddharth Anand,2019,152.0,13+,Action
113,s156,Movie,Tony Machi,2014,55.0,13+,Special Interest
114,s158,TV Show,,2002,1.0,NR,Animation
115,s159,TV Show,,2008,1.0,NR,Animation
116,s160,Movie,Charles Lamont,1937,68.0,13+,Action
117,s161,Movie,Joseph Kane,1939,57.0,18+,Western
118,s162,Movie,Tom Wright,2020,89.0,16+,Action
119,s163,TV Show,,2017,1.0,16+,Action
120,s164,TV Show,,2020,1.0,16+,Comedy
121,s165,Movie,Corey Horton,2016,77.0,18+,Comedy
122,s166,Movie,Charles Garrad,2018,92.0,13+,Drama
123,s167,Movie,Jacob Rosenberg,2012,96.0,PG-13,Documentary
124,s168,Movie,Ben Cookson,2020,109.0,13+,Action
125,s169,Movie,Jason Wise,2018,85.0,13+,Arts
126,s170,TV Show,,2017,7.0,TV-PG,Documentary
127,s171,TV Show,,2018,1.0,TV-14,Documentary
128,s172,TV Show,,2013,1.0,13+,Documentary
129,s173,Movie,Minoru Yamada,1970,98.0,13+,Science Fiction
130,s174,Movie,Bill Norton,1996,94.0,PG-13,Drama
131,s175,Movie,Graeme Campbell,1997,88.0,16+,Action
132,s176,Movie,Eric D. Howell,2017,90.0,R,Drama
133,s177,TV Show,,2018,2.0,G,TV Shows
134,s179,Movie,Siva,2019,151.0,13+,Action
135,s180,Movie,Lamont Johnson,1974,92.0,G,Drama
136,s181,Movie,Aashiq Abu,2019,149.0,G,Drama
137,s182,Movie,Dustin Lance Black,2012,111.0,R,Drama
138,s183,Movie,Jack Fisk,1986,86.0,PG-13,Drama
139,s184,TV Show,,2019,1.0,NR,Anime
140,s185,Movie,Srijit Mukherjee,2019,113.0,16+,International
141,s186,TV Show,,2020,9.0,TV-14,Action
142,s187,Movie,Daniel Roussel,2015,53.0,PG-13,Documentary
143,s188,TV Show,,2009,1.0,G,TV Shows
144,s189,TV Show,,2009,1.0,TV-14,Documentary
145,s190,Movie,Saurabh Varma,2019,125.0,13+,International
146,s191,TV Show,,2008,1.0,13+,Documentary
147,s192,TV Show,,2018,1.0,TV-14,Documentary
148,s193,Movie,KS Ravindra(Bobby),2019,141.0,13+,Action
149,s194,Movie,Vivek Elangovan,2019,121.0,13+,International
150,s195,TV Show,,2018,1.0,16+,Drama
151,s196,TV Show,,2018,1.0,16+,Action
152,s197,Movie,Cannis Holder,2019,48.0,G,Kids
153,s198,TV Show,,2017,1.0,TV-14,Anime
154,s199,TV Show,,2018,1.0,13+,Drama
155,s200,Movie,"Pete Mortimer, Nick Rosen",2014,99.0,13+,Action
156,s201,Movie,Marta Cunningham,2013,88.0,16+,Documentary
157,s203,Movie,Pavel Navageethan,2021,111.0,13+,Action
158,s204,Movie,Mohana Krishna Indraganti,2020,140.0,16+,Action
159,s205,Movie,Mohana Krishna Indraganti,2020,140.0,16+,Action
160,s206,Movie,Mohana Krishna Indraganti,2020,140.0,16+,Action
161,s207,TV Show,,2020,1.0,16+,Drama
162,s209,Movie,,2007,46.0,NR,Music Videos and Concerts
163,s210,Movie,Josh Perrault,2018,51.0,G,Music Videos and Concerts
164,s211,Movie,Josh Perrault,2018,51.0,G,Music Videos and Concerts
165,s212,TV Show,,2017,1.0,TV-14,Action
166,s213,TV Show,,2020,1.0,16+,Comedy
167,s214,Movie,Elliot Nugent,1944,106.0,13+,Arts
168,s216,TV Show,,2019,3.0,TV-MA,Suspense
169,s217,TV Show,,2019,1.0,16+,Animation
170,s218,Movie,"Amin Bakhshian, Kyla Simone Bruce",2020,93.0,16+,Drama
171,s219,Movie,William C. Thomas,1948,60.0,PG,Drama
172,s221,Movie,Stacey Lee,2021,90.0,13+,Documentary
173,s222,Movie,Doug Dearth,2013,104.0,PG,Sports
174,s223,Movie,Joseph Kane,1938,60.0,13+,Western
175,s224,TV Show,,2019,1.0,TV-14,Drama
176,s225,Movie,Kevin Tostado,2011,88.0,G,Documentary
177,s226,Movie,Frank McDonald,1946,69.0,13+,Western
178,s227,TV Show,,2014,1.0,16+,Drama
